Complexity,Loss,Equation
1,1390.1512,"36.70917"
2,75.98067,"exp(x1)"
4,71.21135,"exp(x1 * 0.99089146)"
5,32.876183,"(x1 * x1) * x1"
7,32.608906,"(x1 * 0.99017316) * (x1 * x1)"
16,32.48072,"((x1 * (x1 * (x1 + 0.172591))) - (x1 * sqrt(x1 + -0.51080096))) + x1"
23,32.221382,"sqrt(abs((((((x1 / (x1 * 0.21897867)) * x1) * x1) * (x1 * x1)) * ((x1 * x1) * 0.21465518)) - 0.8408125))"
24,32.22033,"abs(sqrt(abs(0.841104 - (((x1 * (x1 * x1)) * ((x1 / (x1 * 0.25537434)) * x1)) * (x1 * (x1 * 0.2504636))))))"
27,31.933844,"sqrt((((x1 * abs(x1 + -0.08736643)) * abs(abs(((x1 * 0.7636555) + -3.151957) * 0.4117274) + x1)) * (x1 * (x1 + -0.14070888))) * x1)"
