Complexity,Loss,Equation
1,1009.8701,"33.478912"
2,48.353405,"exp(x1)"
4,34.138683,"exp(x1) + x1"
5,2.3542705,"x1 * (x1 * x1)"
12,2.3012042,"abs(((x1 * (x1 * 0.9503515)) * (x1 + 0.24988459)) - 0.6589742)"
22,2.2923303,"abs(-0.45369434 - (((x1 * 1.0838494) - (x1 * ((x1 * 1.2215422) + 0.068230964))) * ((x1 - 1.1042776) + (x1 * -1.7497329))))"
23,2.2901983,"abs(0.11517696 - (((((x1 / -3.069756) * 2.4215071) - (((x1 * x1) + -3.352174) * 0.894037)) * x1) - (sqrt(x1) + x1)))"
28,2.2767274,"(x1 + (x1 * -2.837904)) * ((((sqrt((x1 / ((x1 * x1) * x1)) / 0.6455617) - x1) * ((x1 + -1.0335951) * 0.47707358)) - x1) + 0.51366234)"
29,2.2705052,"(x1 + (x1 * -2.7808058)) * ((((((x1 / (((x1 * x1) * x1) + 0.6949963)) * 2.353402) - x1) * ((x1 + -1.1332505) * 0.49299166)) - x1) + 0.45497552)"
