Complexity,Loss,Equation
1,3.7888034e33,"0.12840664"
8,3.718164e33,"v_b - square(square(square(m * m)))"
10,3.2753718e33,"m - square(square(square(m * (m * -1.3909409))))"
12,2.4516308e33,"0.094812006 - square(square(square(m * ((v_b + v_b) * m))))"
14,2.4404806e33,"-1.9173898 - square(square(square(m * ((v_b * 1.8677711) * (m + v_b)))))"
16,2.429845e33,"m - square(square(square((m + 0.1560793) * ((v_b * (m * 1.8677711)) + 0.8692812))))"
17,2.2779383e33,"v_b - square(square(((m * (m * (m + 1.1692408))) * (v_b + v_b)) / 0.07194846))"
19,2.2468454e33,"-1.8077632 - (square(square(((v_b + v_b) * ((m + m) * m)) * (m / 0.07194846))) / m)"
22,2.1775805e33,"(-0.9603192 - square(square((m + m) * ((v_b + 1.5423747) * abs(((v_b + 1.5423747) / 0.054470282) * m))))) / 0.45597494"
