Complexity,Loss,Equation
1,0.00052346406,"1.056577"
5,0.00036508305,"x1 / (x1 + -0.08746309)"
6,0.00031262691,"exp((-0.34669247 / x1) / -3.713351)"
7,4.878884e-5,"x1 - ((x1 + -1.086811) / 0.9824589)"
12,3.3493885e-5,"sqrt(sqrt(sqrt(((x1 + 0.43563288) - -0.48261803) / x1) + 0.05558674))"
13,1.1598531e-5,"exp(abs(log(sqrt(sqrt(sqrt(sqrt(sqrt(x1)) + -0.16050953))) + -0.06404025)))"
16,1.1256545e-5,"sqrt(sqrt(sqrt(sqrt(abs((7.1520486 / ((x1 * 0.5548528) + 0.1966354)) - -1.8511837)))) * 0.8832079)"
28,1.1249357e-5,"sqrt(((x1 - (x1 + -1.034883)) + 0.22220558) / sqrt((x1 + (x1 - (((x1 - (x1 + -2.0640984)) + 0.13615543) * -0.09394851))) / (sqrt(x1) + x1)))"
