Complexity,Loss,Equation
1,0.00055670005,"0.058901746"
3,0.00037465655,"0.092381105 / x1"
4,3.061963e-5,"0.087475464 / sqrt(x1)"
12,1.5136966e-5,"sqrt(((x1 + (1.6050228 - x1)) / x1) + -0.14277792) * 0.0773113"
14,1.3917443e-5,"sqrt(((x1 - ((x1 - 1.6658546) + 0.10220475)) / x1) + -0.14277792) * 0.0773113"
15,1.387446e-5,"sqrt(abs((((x1 - (x1 + 0.09619621)) - 1.6900675) / x1) + 0.15804788)) * 0.07197201"
16,1.1678864e-5,"abs(abs((log((x1 * (-6.060298 - x1)) - -74.99518) * -0.022072703) / sqrt(abs(x1))))"
18,2.783156e-6,"abs((log(x1 - ((0.31363013 * (exp(x1 / x1) + 0.13372539)) * x1)) / 1.1064723) * 0.04622296)"
26,2.5513227e-6,"(((x1 - ((exp(x1 / (x1 * 1.1005446)) * x1) * 0.3583481)) / log(sqrt(exp(x1) + 1.4543582) + exp(x1))) / x1) / 0.7409065"
