Complexity,Loss,Equation
1,0.0005701142,"1.0591925"
6,0.00057011395,"x1 / abs(x1 * -0.94411397)"
7,0.00024123563,"sqrt(sqrt((x1 + 0.45043066) / x1))"
8,3.204042e-5,"sqrt(sqrt(1.6829662 - sqrt(x1 * 0.07153047)))"
10,1.955848e-5,"sqrt(sqrt(2.1170712 - abs(sqrt(sqrt(x1 * 0.22175121)))))"
15,1.6955226e-5,"abs(sqrt(sqrt(sqrt(sqrt(exp(sqrt(exp(((x1 - 1.6375874) / -1.5443099) + 0.33982334))))))))"
26,1.3992611e-5,"sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(exp(exp((((x1 - 0.9968292) / 1.3413944) - x1) + exp(((x1 - x1) - (-0.052750397 / x1)) + 0.95404345)))))))))"
