Complexity,Loss,Equation
1,0.040621657,"x2_c"
3,0.0018220404,"x2_c * D_lor_raw"
5,4.879218e-5,"0.7565567 / (D_inv_raw + -0.8702514)"
7,6.7272267e-6,"(0.9615505 * 0.7618434) / (D_inv_raw + -0.8886909)"
9,5.004867e-6,"((0.3478614 / D_exp_raw) + (D_rat_raw * 0.37190408)) / D_inv_raw"
11,2.3276718e-6,"(D_inv_raw * ((D_lor_raw * 2.9997284) + (-1.9997306 - D_lor_raw))) - 0.9998279"
13,2.327595e-6,"(D_inv_raw * ((((D_lor_raw * 2.9999053) + -2.4202054) - D_lor_raw) - -0.4202989)) + -0.9999605"
15,2.3273294e-6,"(D_inv_raw * (((D_lor_raw * (0.8835882 + (1.8654082 + 0.25087538))) - D_lor_raw) - 1.9998732)) + -0.9999321"
