Complexity,Loss,Equation
1,0.3358784,"density"
3,3.12073e-6,"density_sq * 0.36397356"
5,3.1029242e-6,"(density_sq * 0.36394268) - -0.00016708467"
7,3.0405918e-6,"density_sq * (0.36424878 - (density * 9.4974384e-5))"
11,3.0352387e-6,"(((density_sq * -1.1528088e-5) - -0.36420065) - (n2 * 6.8918034e-6)) * density_sq"
13,3.034842e-6,"(((density_sq * -1.1528088e-5) - -0.36420065) - ((n2 + -0.8938793) * 6.8918034e-6)) * density_sq"
19,3.0253898e-6,"((((((-3.563548 - (n2 - n)) * inv_V) + density) * 2.4782508e-5) + (0.3642038 * 2.4782508e-5)) + 0.3642038) * density_sq"
