Complexity,Loss,Equation
1,0.040621657,"x2_c"
3,0.0018220408,"D_lor_raw / D_inv_raw"
5,6.476396e-6,"0.7323758 / (D_inv_raw + -0.8881571)"
9,3.3093452e-6,"(((x2_c / -2.6255946) - -2.2359164) * D_lor_raw) + -2.234783"
11,2.7121175e-6,"(D_lor_raw * ((2.2155035 - (x2_c * -0.6306751)) - x2_c)) + -2.2147012"
13,2.3296411e-6,"((D_rat_raw * x2_c) + D_rat_raw) - (((D_lor_raw - D_rat_raw) / x2_c) * -2.0000067)"
15,2.3289222e-6,"((D_rat_raw * x2_c) + D_rat_raw) - (((D_lor_raw - D_rat_raw) / x2_c) * (-5.304173e-5 + -2.0000067))"
17,2.3207874e-6,"((0.74135536 / ((D_inv_raw + -0.6891093) / (D_inv_raw + -0.38110167))) * ((-0.009194617 - D_lor_raw) / -0.9924652)) / D_inv_raw"
