Complexity,Loss,Equation
1,0.040621657,"x2_c"
3,0.0018220408,"D_lor_raw / D_inv_raw"
5,7.152194e-5,"(D_lor_raw * 1.633979) + -1.644153"
7,6.4798664e-6,"x2_c / (0.15278952 - (-1.2124748 / D_rat_raw))"
9,2.328429e-6,"((D_inv_raw - (D_lor_raw / x2_c)) * -1.9998442) + -0.99992114"
11,2.3284133e-6,"((((D_inv_raw * x2_c) - D_lor_raw) / x2_c) * -1.9998442) + -0.99992114"
13,2.3221555e-6,"((D_inv_raw - (D_lor_raw / x2_c)) * -2.00137) + ((0.0013412454 / D_rat_raw) + -1.0019423)"
