Complexity,Loss,Equation
1,0.0005679219,"0.057861473"
3,0.00033513535,"0.09316799 / x1"
4,3.183636e-5,"0.08700249 / sqrt(x1)"
7,4.6177393e-6,"(0.93102634 / (x1 + 1.1665188)) / 4.6547356"
14,3.9648066e-6,"(0.88900626 / (((0.9218138 / abs(x1 + 4.415716)) + x1) + 0.8859684)) / 4.653094"
17,2.046154e-6,"((1.214714 / (x1 + ((x1 * (0.12055261 / (0.6984528 / x1))) + 2.2790709))) / 3.038444) / 1.2239"
23,1.8425692e-6,"((1.178968 / abs(abs(x1 + (((x1 / (0.70064366 / ((-1.303612 / x1) + x1))) * 0.10635959) + 2.2943513)))) / 3.0524707) / 1.2583026"
