Complexity,Loss,Equation
1,5.9344998e-6,"0.0005101724"
3,5.6170607e-6,"m * 0.00013073867"
4,5.4894786e-6,"square(m) * 1.8613375e-5"
5,4.308438e-6,"(v_b * -0.0058174124) - -0.0032925345"
7,2.7677233e-6,"((v_b * -0.022598129) + 0.014322128) * v_b"
9,2.6492887e-6,"(((v_b + -0.77012104) * v_b) * -0.032584354) + -0.0024614208"
11,2.3975692e-6,"(0.6341956 - v_b) * ((m * 0.00540647) * (v_b / 1.2609026))"
13,2.2618788e-6,"(v_b + -0.09215941) * (m * (0.012036705 * ((0.64845824 - v_b) / 2.2395554)))"
15,2.162971e-6,"((v_b + -0.091210485) * (m + v_b)) * (((0.6458841 - v_b) * 0.012085677) / 2.2395554)"
