Complexity,Loss,Equation
1,1.4562253,"2.6918514"
2,0.00095780555,"abs(x1)"
3,0.00075979263,"x1 + 0.014071569"
5,0.00021122058,"log(exp(x1) + 0.1367913)"
7,0.00018246585,"log(exp(x1 + -0.0072060344) - -0.16052066)"
8,0.00013510017,"abs(log(exp(x1) - (-0.106107816 / x1)))"
10,0.000132847,"abs(log((exp(x1) - (-0.092375726 / x1)) + 0.019983683))"
17,0.00012803898,"abs(((0.26145914 / (exp(x1) * sqrt(exp((x1 - -0.028129244) * x1)))) * 0.78359085) + x1)"
