Complexity,Loss,Equation
1,1247.9613,"34.407787"
2,50.502464,"exp(x1)"
4,45.615047,"exp(x1) + 2.2109244"
5,3.6428554,"(x1 * x1) * x1"
7,3.6334388,"((x1 * x1) * x1) + 0.09703229"
10,3.6171975,"((x1 * abs(x1 * x1)) + 0.22132039) * 0.99640065"
14,3.613112,"(x1 + abs((x1 * (1.076959 - (x1 * x1))) - 0.37211403)) + -0.065125294"
16,3.60897,"x1 + abs(((x1 * (((x1 + -0.0520152) * x1) - 0.78842074)) - 0.9471695) + 0.93464583)"
18,3.5610318,"(x1 + 0.41999614) * abs((x1 * abs(x1 - 0.4637361)) + (log(x1) / (x1 - 0.24004707)))"
