Complexity,Loss,Equation
1,0.03586226,"-0.0013768412"
3,0.035827313,"0.00945104 / x1"
4,0.035784528,"exp(x1 * -5.96598)"
5,0.035720162,"-0.017183315 - (-0.030828636 / x1)"
11,0.035708364,"(log((x1 + 0.058472186) / x1) * sqrt(x1)) + -0.04037508"
14,0.035469867,"0.38786796 * abs(((x1 * x1) * log(x1)) / exp(x1 * x1))"
16,0.035402406,"0.38786796 * ((x1 * (x1 * x1)) * abs(log(x1) / exp(x1 * x1)))"
23,0.033936746,"((((((x1 / x1) - (x1 / x1)) + (x1 * -0.02176926)) / (1.2214445 - x1)) / x1) / (x1 + x1)) + -0.0026032932"
