Complexity,Loss,Equation
1,0.040621657,"x2_c"
3,0.0018220408,"D_lor_raw / D_inv_raw"
5,7.152193e-5,"(D_lor_raw - 1.0062295) * 1.6339817"
7,1.1942936e-5,"(D_lor_raw - 0.2819569) / (D_inv_raw + -0.28929955)"
9,6.4691008e-6,"1.165469 / ((D_inv_raw * (1.5919135 / D_rat_raw)) + 0.17763631)"
11,3.4074415e-6,"(x2_c - ((1.158698 / D_inv_raw) + 1.7753319)) - (D_lor_raw * -1.7766588)"
13,2.712111e-6,"(((D_lor_raw * 0.36934578) / D_rat_raw) - ((D_lor_raw * -0.8461708) - D_lor_raw)) + -2.2147079"
15,2.310559e-6,"(D_lor_raw * 2.9635465) - (x2_c * ((((2.9637508 / D_rat_raw) * D_inv_raw) + D_lor_raw) + 2.6912458))"
