Complexity,Loss,Equation
1,0.18074885,"0.5194273"
3,0.0037575494,"1.0331997 / x1"
5,0.0035008243,"0.98129445 / (x1 + -0.04240509)"
7,0.003500821,"(0.8897268 / (x1 - 0.04248824)) / 0.9067837"
8,0.003482723,"abs((1.0186442 / (x1 + -0.024607562)) + -0.013029831)"
25,0.0034703868,"abs(abs(sqrt(abs((((x1 - 0.33221647) - x1) + (1.3732628 / (((x1 + -0.0385432) * x1) / x1))) * (0.7224756 / x1))) - -0.15015121))"
26,0.003428334,"abs(sqrt(abs((((((1.7444568 / ((x1 * (x1 + -0.1375642)) / x1)) + x1) - 0.4323048) - x1) * (0.6673944 * 0.68546396)) / x1)) - -0.16531879)"
27,0.0034141783,"abs(abs(sqrt(abs((1.6359764 / x1) * ((((x1 - 0.19124898) - x1) + (0.7805811 / (x1 * ((x1 + -0.09770323) / x1)))) * 0.68504256))) - -0.15842327))"
