Complexity,Loss,Equation
1,0.005060588,"0.012461747"
3,0.0046366877,"0.040791653 / x1"
4,0.004572934,"0.12773222 / exp(x1)"
5,0.004390939,"(0.040791858 / x1) / x1"
6,0.0043876404,"abs(-0.043539576 / (x1 * x1))"
8,0.004339724,"exp(1.4350597 / x1) / (x1 / 0.00727217)"
15,0.0042007896,"abs(((exp(exp(x1) / -0.64570946) / x1) / abs(x1 + -1.5726047)) * 2.0226536)"
16,0.004014426,"(exp(exp(x1) / -0.64570946) / abs((x1 + -1.5726047) / x1)) * (1.9660459 / 0.9720131)"
18,0.0038848582,"((exp(exp(x1) / -0.64570946) / x1) / abs((x1 + -1.5726047) / x1)) * (1.9660459 / 0.9720131)"
