Complexity,Loss,Equation
1,0.0042784354,"x1"
3,0.0038765972,"x1 - -0.020046346"
5,0.0033871247,"x1 - (-0.062918 / x1)"
7,0.003375064,"x1 - (-0.062918 / (0.021829233 + x1))"
8,0.0033708785,"x1 + log((x1 - -0.062918) / x1)"
9,0.0032645017,"x1 - (-0.062918 / ((x1 - 0.5449631) + x1))"
25,0.0032174408,"((0.052424178 / x1) * log((x1 - ((x1 - (exp(x1) - (x1 * x1))) - (x1 - 0.7382644))) * 4.221117)) + (x1 - 0.058256477)"
26,0.0031831195,"((0.09131977 / x1) * log(abs((x1 - ((x1 - (exp(x1) - (x1 * x1))) - (x1 - 1.1408659))) * 4.364646))) + (x1 - 0.11647427)"
