Complexity,Loss,Equation
1,0.0063191503,"1.0655359"
5,0.000105601655,"exp(exp(-0.7164755 - x1))"
6,2.421427e-5,"sqrt(exp(exp(-0.09925358 - x1)))"
8,2.0970381e-5,"sqrt(exp(exp(-0.11154581 - x1))) + 0.0022734127"
11,1.4600833e-5,"sqrt(exp(exp(-0.8563247 - x1))) + exp(-1.2783026 - x1)"
19,1.4215648e-5,"sqrt(sqrt(exp(exp(0.2471753 - (x1 + -0.23319605))) + abs(exp((x1 - (x1 - -0.9068087)) - x1))))"
