Complexity,Loss,Equation
1,0.0046819407,"0.03291215"
3,0.0042440896,"0.0659162 / x1"
4,0.004244089,"0.065926254 / abs(x1)"
5,0.004180282,"sqrt(exp(-4.155549 - x1))"
7,0.0041597406,"sqrt(exp(-4.155549 - x1)) + -0.0045326976"
18,0.004126317,"(abs(((0.3963129 / ((-1.0676465 / x1) / (0.0026804216 - x1))) * 0.00054529886) - 1.0789078) + -1.075152) / 0.057572067"
20,0.0041262964,"((abs(((0.33313185 / ((-0.43871716 / x1) / (x1 - -0.000563938))) * 0.047725137) - 0.56113946) + -1.233927) / -0.6241412) * 0.060601953"
24,0.0041188756,"(abs(abs((((((0.6104398 / sqrt(x1)) / (-0.83419466 / x1)) / (x1 - -0.8244124)) - x1) * -0.08483498) - 0.83444774)) + -0.43101296) * 0.23744446"
