Complexity,Loss,Equation
1,51.342888,"9.259026"
3,0.15295118,"x1 * x1"
5,0.15040115,"(x1 * x1) + 0.050520156"
7,0.15040113,"abs(abs(x1 * x1)) + 0.050486796"
8,0.14834434,"abs(((x1 - 0.03600489) * x1) - -0.14989758)"
9,0.14834425,"(((x1 - -0.9639956) * x1) - -0.14989577) - x1"
10,0.14727539,"(abs(-0.41577244 + (x1 * x1)) - -0.42853278) + 0.053340998"
14,0.1468885,"abs(abs((abs((x1 * (x1 + -1.0303434)) - -0.20407476) + x1) - 0.072839946))"
15,0.14495671,"(((x1 * x1) * (x1 - 0.74359155)) / ((x1 + -0.7759735) - -0.07683945)) + 0.22644459"
