Complexity,Loss,Equation
1,0.00057436514,"0.057686847"
3,0.00034882178,"0.09281158 / x1"
4,4.394615e-5,"0.08671286 / sqrt(x1)"
6,2.5823258e-5,"0.120790645 / exp(x1 * 0.2931056)"
7,1.4452009e-5,"0.23245764 / exp(sqrt(x1 * 0.83779794))"
25,1.4350883e-5,"0.10730099 / abs(sqrt(x1 * (((0.8935305 / sqrt(x1)) * x1) * (exp((x1 / 1.7861744) * ((0.6974301 / x1) * x1)) / x1))))"
26,1.4260911e-5,"(0.85389876 / sqrt((x1 * (x1 * (1.080359 / sqrt(x1)))) * (exp((x1 / 1.2075589) * ((0.46626642 / x1) * x1)) / x1))) * 0.1370754"
